CONTAINER_ID,LINE_CODE,CONTAINER_DATE,DATE,DAY,TIME,AM/PM,CONTAINER_TYPE_CODE,CONTAINER_TYPE,CONTAINER_ISO_CODE,CONTAINER_LENGTH,CONTAINER_HEIGHT,CONTAINER_WIDTH,VENTILATION,DANGEROUS_TRANSPORT,DESIGNATION_CODE,DESIGNATION
ESDU2588218,NVSL,5/28/2024,5/28/2024,Tuesday,9:05:42,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
WFHU5900316,HLL,5/10/2024,5/10/2024,Friday,20:46:54,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU5317026,APL,6/7/2024,6/7/2024,Friday,5:51:45,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU8953302,APL,6/26/2024,6/26/2024,Wednesday,8:04:19,AM,HC,High Cubed,45G0,40,9'6'',8,No Ventilation,No,EXP,Export Service
GCSU9517229,HLL,6/12/2024,6/12/2024,Wednesday,5:42:21,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU9190278,MLH,4/19/2024,4/19/2024,Friday,4:06:20,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU6592144,APL,11/20/2024,11/20/2024,Wednesday,21:31:45,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
GCSU3949835,MLH,3/9/2024,3/9/2024,Saturday,11:12:59,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
WIKU8995150,APL,6/19/2024,6/19/2024,Wednesday,8:32:22,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU3315159,ESL,5/9/2024,5/9/2024,Thursday,17:03:11,PM,TNK,Tank,22T1,20,8'6'',8,Pressurized,No,EXP,Export Service
WIKU2957073,ESL,9/2/2024,9/2/2024,Monday,22:50:42,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU6236331,MLH,6/13/2024,6/13/2024,Thursday,18:58:05,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
WIKU1766244,MLH,8/21/2024,8/21/2024,Wednesday,19:05:48,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
TRLU6094425,APL,10/31/2024,10/31/2024,Thursday,7:14:57,AM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,MT,Empty
ESDU8538002,HLL,8/21/2024,8/21/2024,Wednesday,15:02:05,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,T/S,Transhipment
TRLU8482580,ESL,1/1/2024,1/1/2024,Monday,22:37:42,PM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU7724872,APL,4/27/2024,4/27/2024,Saturday,17:38:32,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU4332796,ESL,2/27/2024,2/27/2024,Tuesday,11:13:48,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
GCSU9528230,NVSL,1/21/2024,1/21/2024,Sunday,1:36:26,AM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,EXP,Export Service
ESDU3384708,ESL,10/6/2024,10/6/2024,Sunday,2:18:26,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU9237623,NVSL,1/1/2024,1/1/2024,Monday,2:47:46,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
GCSU7289961,ESL,7/11/2024,7/11/2024,Thursday,5:07:46,AM,HRF,High Cubed Refrigerated,4532,40,9'6'',8,Refrigerated and Heated,No,MT,Empty
GCSU4008591,HLL,11/10/2024,11/10/2024,Sunday,20:09:37,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU4768573,NVSL,4/7/2024,4/7/2024,Sunday,21:26:25,PM,HRF,High Cubed Refrigerated,4530,40,9'6'',8,Refrigerated,No,MT,Empty
WIKU4872354,APL,12/14/2024,12/14/2024,Saturday,1:40:35,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU7881812,MLH,5/8/2024,5/8/2024,Wednesday,4:20:21,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU6907659,ESL,10/20/2024,10/20/2024,Sunday,17:08:09,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU4421780,HLL,3/14/2024,3/14/2024,Thursday,18:43:24,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU3359389,HLL,6/15/2024,6/15/2024,Saturday,12:56:34,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU8411652,APL,11/9/2024,11/9/2024,Saturday,11:03:38,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU3988982,APL,9/11/2024,9/11/2024,Wednesday,10:47:59,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU1521455,HLL,1/2/2024,1/2/2024,Tuesday,22:49:13,PM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,MT,Empty
WFHU5005333,HLL,3/8/2024,3/8/2024,Friday,14:47:48,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU6084132,ESL,1/17/2024,1/17/2024,Wednesday,14:26:50,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU1144222,NVSL,5/12/2024,5/12/2024,Sunday,12:31:28,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU2228112,MLH,10/22/2024,10/22/2024,Tuesday,1:20:36,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU6032151,HLL,7/10/2024,7/10/2024,Wednesday,14:59:48,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU5751922,HLL,4/26/2024,4/26/2024,Friday,3:51:32,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
ESDU7971283,NVSL,12/1/2024,12/1/2024,Sunday,1:20:32,AM,HC,High Cubed,45G0,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU8731445,APL,4/2/2024,4/2/2024,Tuesday,3:29:23,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU8625679,APL,9/17/2024,9/17/2024,Tuesday,17:46:17,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU1434954,NVSL,12/26/2024,12/26/2024,Thursday,3:34:23,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU8185362,APL,8/7/2024,8/7/2024,Wednesday,14:18:15,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
WIKU7835019,HLL,2/9/2024,2/9/2024,Friday,14:40:28,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU8140918,HLL,11/1/2024,11/1/2024,Friday,0:31:48,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU7822293,MLH,11/9/2024,11/9/2024,Saturday,12:37:53,PM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,EXP,Export Service
WFHU9526435,MLH,1/28/2024,1/28/2024,Sunday,15:01:14,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU4659422,HLL,3/22/2024,3/22/2024,Friday,19:21:57,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU9895055,HLL,5/8/2024,5/8/2024,Wednesday,9:49:18,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,T/S,Transhipment
TRLU8210479,ESL,6/24/2024,6/24/2024,Monday,0:48:14,AM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU3081496,ESL,3/28/2024,3/28/2024,Thursday,1:43:50,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU5323544,ESL,2/26/2024,2/26/2024,Monday,8:46:12,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
ESDU8199714,MLH,10/16/2024,10/16/2024,Wednesday,9:39:51,AM,HRF,High Cubed Refrigerated,4530,40,9'6'',8,Refrigerated,No,MT,Empty
ESDU4674899,APL,6/15/2024,6/15/2024,Saturday,14:05:16,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU3374178,HLL,8/9/2024,8/9/2024,Friday,10:20:17,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
ESDU9729560,ESL,7/11/2024,7/11/2024,Thursday,11:00:26,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
TRLU6931776,ESL,12/4/2024,12/4/2024,Wednesday,19:02:21,PM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,MT,Empty
ESDU2281635,NVSL,8/15/2024,8/15/2024,Thursday,23:22:47,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
WFHU2714697,NVSL,12/30/2024,12/30/2024,Monday,7:04:01,AM,STD,Standard,2210,20,8'6'',8,Ventilated,No,MT,Empty
WFHU2379243,NVSL,3/6/2024,3/6/2024,Wednesday,6:50:21,AM,HC,High Cubed,45G0,40,9'6'',8,No Ventilation,No,EXP,Export Service
WIKU1764940,HLL,12/7/2024,12/7/2024,Saturday,18:39:21,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU6298375,MLH,3/2/2024,3/2/2024,Saturday,4:45:09,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU8954741,HLL,11/17/2024,11/17/2024,Sunday,11:03:23,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
GCSU6050993,MLH,5/11/2024,5/11/2024,Saturday,1:20:49,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU4823040,APL,12/4/2024,12/4/2024,Wednesday,14:34:49,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU3624472,APL,5/4/2024,5/4/2024,Saturday,22:29:46,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
GCSU7477500,NVSL,3/10/2024,3/10/2024,Sunday,5:59:30,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU1668903,APL,11/29/2024,11/29/2024,Friday,22:49:32,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,T/S,Transhipment
WIKU1591651,MLH,11/9/2024,11/9/2024,Saturday,10:48:06,AM,STD,Standard,42G1,40,8'6'',8,No Ventilation,No,T/S,Transhipment
WFHU2766680,HLL,6/20/2024,6/20/2024,Thursday,2:59:35,AM,STD,Standard,2210,20,8'6'',8,Ventilated,No,T/S,Transhipment
GCSU4381952,HLL,6/12/2024,6/12/2024,Wednesday,6:20:13,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU8030195,APL,6/10/2024,6/10/2024,Monday,16:11:10,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU4168268,MLH,12/27/2024,12/27/2024,Friday,10:44:53,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU6237722,HLL,10/17/2024,10/17/2024,Thursday,12:54:38,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
GCSU1861891,ESL,5/14/2024,5/14/2024,Tuesday,13:22:18,PM,HRF,High Cubed Refrigerated,45R4,40,9'6'',8,Thermal,No,MT,Empty
WIKU1923070,ESL,7/13/2024,7/13/2024,Saturday,4:59:43,AM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,EXP,Export Service
GCSU4276101,ESL,4/1/2024,4/1/2024,Monday,0:07:48,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU7668908,NVSL,8/14/2024,8/14/2024,Wednesday,3:02:07,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU1151632,NVSL,6/20/2024,6/20/2024,Thursday,22:22:52,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
TRLU9011814,HLL,7/17/2024,7/17/2024,Wednesday,5:59:37,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU5851886,NVSL,8/8/2024,8/8/2024,Thursday,8:59:36,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU9408869,MLH,4/20/2024,4/20/2024,Saturday,17:59:04,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU5105505,MLH,11/26/2024,11/26/2024,Tuesday,16:12:35,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU7269094,NVSL,4/22/2024,4/22/2024,Monday,12:28:17,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU5990111,ESL,9/30/2024,9/30/2024,Monday,20:25:03,PM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU2268304,NVSL,11/24/2024,11/24/2024,Sunday,17:19:21,PM,HRF,High Cubed Refrigerated,4532,40,9'6'',8,Refrigerated and Heated,No,MT,Empty
ESDU1171990,NVSL,1/26/2024,1/26/2024,Friday,19:49:09,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU9717054,NVSL,12/23/2024,12/23/2024,Monday,22:10:22,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU2439812,NVSL,4/3/2024,4/3/2024,Wednesday,11:44:22,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
ESDU7714240,NVSL,3/12/2024,3/12/2024,Tuesday,2:55:01,AM,STD,Standard,2210,20,8'6'',8,Ventilated,No,MT,Empty
WIKU5215159,HLL,1/29/2024,1/29/2024,Monday,5:04:38,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
GCSU6736938,ESL,9/7/2024,9/7/2024,Saturday,12:16:17,PM,HRF,High Cubed Refrigerated,4530,40,9'6'',8,Refrigerated,No,MT,Empty
WFHU2160136,MLH,4/14/2024,4/14/2024,Sunday,14:03:18,PM,HRF,High Cubed Refrigerated,45R1,40,9'6'',8,Refrigerated and Heated,No,EXP,Export Service
WFHU3336551,NVSL,11/2/2024,11/2/2024,Saturday,13:35:36,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,EXP,Export Service
ESDU3922423,MLH,3/29/2024,3/29/2024,Friday,3:32:51,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU9177032,HLL,7/8/2024,7/8/2024,Monday,5:51:32,AM,OT,Open Top,22U1,20,8'6'',8,Ventilated,No,EXP,Export Service
GCSU6574222,HLL,3/10/2024,3/10/2024,Sunday,2:20:31,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU2231565,HLL,11/3/2024,11/3/2024,Sunday,13:33:30,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU5705679,NVSL,12/18/2024,12/18/2024,Wednesday,16:56:13,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU3852394,NVSL,9/30/2024,9/30/2024,Monday,3:14:59,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU5832425,ESL,5/13/2024,5/13/2024,Monday,3:32:09,AM,HC,High Cubed,4510,40,9'6'',8,Ventilated,No,MT,Empty
TRLU2309200,HLL,1/18/2024,1/18/2024,Thursday,16:53:22,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU8899159,MLH,2/4/2024,2/4/2024,Sunday,18:08:51,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU7699080,ESL,9/30/2024,9/30/2024,Monday,14:44:46,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU3803982,APL,6/2/2024,6/2/2024,Sunday,6:55:41,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU2832767,MLH,10/9/2024,10/9/2024,Wednesday,2:25:36,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU3933851,NVSL,12/13/2024,12/13/2024,Friday,14:51:45,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
ESDU5663976,ESL,6/14/2024,6/14/2024,Friday,9:41:04,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU2066884,HLL,12/23/2024,12/23/2024,Monday,3:44:15,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU4777771,MLH,4/9/2024,4/9/2024,Tuesday,2:58:07,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
ESDU8008993,MLH,8/14/2024,8/14/2024,Wednesday,3:37:52,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU9469792,HLL,11/16/2024,11/16/2024,Saturday,3:56:34,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU5749378,NVSL,4/18/2024,4/18/2024,Thursday,7:56:19,AM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,EXP,Export Service
ESDU7866603,APL,10/27/2024,10/27/2024,Sunday,20:35:55,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,T/S,Transhipment
TRLU9868050,MLH,7/19/2024,7/19/2024,Friday,20:55:16,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU8378466,ESL,2/28/2024,2/28/2024,Wednesday,16:08:42,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
ESDU2553412,HLL,1/27/2024,1/27/2024,Saturday,0:44:05,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU3035688,NVSL,12/5/2024,12/5/2024,Thursday,2:56:55,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WIKU7264083,MLH,9/10/2024,9/10/2024,Tuesday,1:07:05,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU9180756,ESL,12/28/2024,12/28/2024,Saturday,1:01:13,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU9653847,HLL,3/20/2024,3/20/2024,Wednesday,2:09:02,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,T/S,Transhipment
WIKU6213939,NVSL,4/29/2024,4/29/2024,Monday,7:43:22,AM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,MT,Empty
TRLU6796385,HLL,2/9/2024,2/9/2024,Friday,23:50:55,PM,STD,Standard,2210,20,8'6'',8,Ventilated,No,MT,Empty
WIKU7996802,MLH,3/19/2024,3/19/2024,Tuesday,4:08:31,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU2274734,MLH,9/28/2024,9/28/2024,Saturday,17:25:53,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU3527563,HLL,4/29/2024,4/29/2024,Monday,22:12:39,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
WIKU3915203,ESL,4/30/2024,4/30/2024,Tuesday,4:09:43,AM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU1630256,APL,2/3/2024,2/3/2024,Saturday,16:51:09,PM,HC,High Cubed,45G1,40,9'6'',8,No Ventilation,No,MT,Empty
GCSU4168803,APL,7/15/2024,7/15/2024,Monday,11:31:15,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
TRLU1413632,NVSL,11/29/2024,11/29/2024,Friday,12:05:51,PM,STD,Standard,2200,20,8'6'',8,No Ventilation,No,EXP,Export Service
TRLU4350577,ESL,10/13/2024,10/13/2024,Sunday,6:51:57,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WFHU4751578,ESL,9/18/2024,9/18/2024,Wednesday,20:37:00,PM,STD,Standard,2210,20,8'6'',8,Ventilated,No,EXP,Export Service
WFHU6108648,APL,3/5/2024,3/5/2024,Tuesday,4:16:43,AM,HRF,High Cubed Refrigerated,4532,40,9'6'',8,Refrigerated and Heated,No,EXP,Export Service
ESDU2664157,APL,3/20/2024,3/20/2024,Wednesday,17:07:54,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,EXP,Export Service
TRLU4495177,MLH,8/21/2024,8/21/2024,Wednesday,23:04:47,PM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,MT,Empty
WIKU3829602,HLL,5/20/2024,5/20/2024,Monday,7:19:17,AM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
WFHU1184816,APL,7/4/2024,7/4/2024,Thursday,12:40:42,PM,STD,Standard,22G1,20,8'6'',8,No Ventilation,No,MT,Empty
ESDU7846541,NVSL,6/16/2024,6/16/2024,Sunday,11:29:21,AM,HC,High Cubed,4500,40,9'6'',8,No Ventilation,No,EXP,Export Service
